,elevation,Veg Broadleaf Forest,Veg Desert,Veg Grassland,Veg Needleleaf Forest,Veg Rock,Veg Shrubland
0,953.0,0,0,0,0,0,1
1,248.0,0,0,0,0,1,0
2,160.0,1,0,0,0,0,0
3,1288.0,0,0,0,0,0,0
4,88.0,0,0,0,0,0,1
5,43.0,0,0,0,0,0,1
6,208.0,0,0,0,0,1,0
7,594.0,0,0,0,0,1,0
8,63.0,0,0,0,0,0,1
9,51.0,0,0,0,0,0,1
10,1274.0,1,0,0,0,0,0
11,193.0,0,0,0,0,1,0
12,175.0,1,0,0,0,0,0
13,82.0,0,0,0,0,0,1
14,66.0,0,0,0,0,0,1
15,359.0,0,0,0,0,1,0
16,134.0,1,0,0,0,0,0
17,240.0,0,0,0,1,0,0
18,69.0,0,0,0,0,0,1
19,599.0,0,0,0,0,1,0
20,247.0,1,0,0,0,0,0
21,183.0,1,0,0,0,0,0
22,66.0,0,0,0,0,0,1
23,1418.0,1,0,0,0,0,0
24,29.0,0,0,0,0,0,1
25,141.0,0,0,0,0,0,1
26,136.0,0,0,0,0,0,1
27,629.0,0,0,0,0,0,0
28,119.0,0,0,0,0,0,1
29,404.0,0,0,0,0,1,0
30,469.0,0,0,0,0,0,1
31,1286.0,0,0,1,0,0,0
32,106.0,0,0,0,0,0,1
33,278.0,0,0,0,0,0,0
34,309.0,0,0,0,0,1,0
35,313.0,0,0,1,0,0,0
36,755.0,0,0,0,0,0,0
37,13.0,0,0,0,0,0,1
38,95.0,0,0,0,0,0,1
39,399.0,0,0,0,0,1,0
40,119.0,0,0,0,0,0,1
41,452.0,0,0,1,0,0,0
42,402.0,0,0,1,0,0,0
43,991.0,0,0,0,0,0,1
44,1108.0,1,0,0,0,0,0
45,261.0,0,0,0,0,0,0
46,1956.0,0,0,0,0,1,0
47,103.0,0,0,0,0,0,1
48,75.0,0,0,0,0,0,1
49,2176.0,1,0,0,0,0,0
50,487.0,0,0,0,0,1,0
51,2.0,0,0,0,0,0,1
52,383.0,0,0,0,0,1,0
53,255.0,0,0,1,0,0,0
54,108.0,0,0,0,0,1,0
55,86.0,0,0,0,0,0,1
56,250.0,0,0,0,0,0,1
57,568.0,0,0,0,0,1,0
58,32.0,0,0,0,0,0,1
59,180.0,0,0,0,0,1,0
60,33.0,1,0,0,0,0,0
61,141.0,0,0,0,0,0,1
62,357.0,0,0,0,0,0,0
63,9.0,0,0,0,0,0,1
64,320.0,1,0,0,0,0,0
65,548.0,1,0,0,0,0,0
66,42.0,0,0,0,0,0,1
67,344.0,0,0,0,0,1,0
68,394.0,0,0,0,0,1,0
69,233.0,0,0,0,0,0,1
70,2421.0,0,0,0,0,0,0
71,1658.0,0,0,0,0,0,1
72,989.0,0,0,0,0,1,0
73,448.0,0,0,1,0,0,0
74,411.0,1,0,0,0,0,0
75,2.0,0,0,0,0,0,1
76,121.0,1,0,0,0,0,0
77,100.0,0,0,0,0,0,1
78,318.0,0,0,0,0,1,0
79,221.0,0,0,0,0,0,0
80,777.0,1,0,0,0,0,0
81,63.0,0,0,0,0,0,1
82,191.0,0,0,0,0,0,1
83,17.0,0,0,0,0,1,0
84,168.0,0,0,0,0,0,0
85,605.0,0,0,0,0,1,0
86,113.0,0,0,0,0,0,1
