,fire_size_class,latitude,longitude,discovery_month,disc_dow,Vegetation,remoteness,elevation,Temp,Wind,Humidity,Precipitation
0,C,18.105072,-66.753044,Feb,6,12,0.017923388,953,24.70016487,3.698918563,77.1306396,0
1,B,35.03832998,-87.60999999,Dec,0,15,0.184354952,248,4.968987629,2.522647284,64.06826441,22.73333333
2,C,34.9478,-88.7225,Feb,6,16,0.194543513,160,5.437815261,2.994720868,76.0710253,76.36666667
3,B,39.6414,-119.3083,Jun,0,0,0.487447455,1288,17.80490422,3.708197941,39.09102889,5.866666667
6,B,31.31697802,-83.39364888,Jan,5,12,0.148903825,88,10.42888913,1.242472171,51.10949905,8.666666667
7,B,30.90472001,-93.55749999,Nov,5,12,0.241893505,43,18.09483474,1.409662985,75.29516067,19.03333333
8,B,35.90031,-92.06118,Aug,2,15,0.224629406,208,27.62939146,1.76710513,66.99076192,3.3
9,B,48.8394,-99.7185,Apr,0,15,0.291682627,594,5.838720635,6.453449191,58.2957949,4.7
10,B,30.84533929,-83.12798679,Mar,5,12,0.146888352,63,8.542391745,1.986060707,68.4466266,36.96666667
13,B,31.76738,-93.14687,Jul,6,12,0.237431209,51,26.32390258,1.806809845,75.83769552,22.36666667
15,B,33.98860931,-103.1352768,Feb,0,16,0.330323382,1274,4.990834714,6.019710216,41.46224616,6
18,B,35.73848,-79.49695,Feb,3,15,0.111342709,193,2.565187692,3.220316664,48.72696497,29.63333333
21,B,33.779575,-96.025915,Dec,5,16,0.262885026,175,7.432328814,4.48070859,58.73447726,0
24,C,31.43518075,-88.99948898,Apr,5,12,0.199485364,82,14.71354552,1.850697706,58.11961851,0
25,B,17.98888,-67.04792,Jan,4,12,0.020531527,66,24.83791718,5.704589061,67.59476461,0
26,B,35.7189,-92.335,Jan,6,15,0.227269734,359,1.163565891,0.449147287,25.36379928,0
27,B,33.9375,-81.30416667,Apr,5,16,0.128446275,134,15.57613095,2.848518518,56.98386243,44.33333333
28,B,42.73193374,-77.90597641,Apr,5,4,0.094047941,240,6.319504084,3.326073177,67.38766661,31.2
29,C,31.1222,-88.0994,Jun,6,12,0.191511624,69,25.11597201,3.195374458,72.58729944,73.46666667
31,B,48.833,-99.7836,Apr,5,15,0.292302716,599,-1.597603159,6.157379713,74.9040364,17.2
32,B,34.8928,-84.7615,Jan,0,16,0.158699888,247,0.741891892,0.716441441,19.63288288,0
33,B,33.669209,-95.490213,Sep,1,16,0.257938124,183,30.2625979,4.28805992,49.04767376,1.7
35,C,31.259,-84.8956,Oct,3,12,0.16241594,66,18.66362429,3.079237175,63.20471417,0
36,F,33.2418,-104.9122,Jul,5,16,0.347990707,1418,32.82421007,3.855707465,24.26019965,0.833333333
37,B,28.42583,-81.39111,Mar,6,12,0.133388985,29,16.21439668,3.53161,65.26323588,39.53333333
42,B,32.87732378,-82.72099158,Jan,5,12,0.141766232,141,10.30369043,0.754421105,52.65463859,0
44,C,32.56499998,-96.1751,Sep,2,12,0.265119968,136,27.47496026,3.07857249,62.5622764,33.2
48,C,37.46458863,-81.49122444,Apr,2,0,0.127991883,629,11.04443948,3.6693028,48.80377848,23.5
49,B,32.232007,-94.478323,Aug,0,12,0.249481022,119,30.02963684,2.842024772,65.01125437,0
51,B,47.21028723,-93.47281993,May,5,15,0.233241731,404,5.435097002,3.963432425,59.75952681,11.26666667
53,C,29.60577,-99.7186,Feb,3,12,0.300849982,469,13.88063023,3.383597433,56.62981739,0
54,B,43.85158,-108.19147,Jul,4,9,0.374651711,1286,23.63353578,2.902620993,37.42177876,2.9
55,B,32.38856,-94.68856,Oct,5,12,0.251330447,106,21.55684247,2.164153601,66.89066083,51.96666667
56,C,36.5865,-96.32322,Dec,5,0,0.263942762,278,5.789587617,2.905872399,80.72062587,90.86666667
57,D,35.47333333,-84.45,Oct,6,15,0.155543155,309,12.25534525,1.508947577,70.75074443,53.4
58,B,42.40379312,-73.41862982,Apr,0,9,0.055253401,313,5.763037091,3.193479449,64.29002567,50.66666667
59,C,36.81666667,-82.65166667,Apr,3,0,0.138669868,755,7.809499465,3.17718566,53.29464777,0
63,B,29.52,-83.26,Sep,4,12,0.14911702,13,25.97780405,2.357892203,79.82877054,0
65,B,32.80707917,-94.57469159,Jan,4,12,0.249971632,95,3.43456323,0.793913592,21.75611713,0
66,B,47.342389,-92.822977,Apr,5,15,0.227184588,399,4.736397002,2.525104146,50.90876622,0
72,B,29.77036999,-97.22999998,Feb,2,12,0.277157817,119,13.59457672,2.84462963,63.61918346,0
73,C,43.94039999,-98.51480001,Oct,0,9,0.28137141,452,11.80389128,3.879176027,60.6163341,14.93333333
75,B,45.0422716,-89.03498935,Apr,0,9,0.192858208,402,2.671847826,7.457391304,74.9537037,0
77,B,32.27594,-102.7609,Feb,2,12,0.327900661,991,8.018409188,4.323565112,38.1306038,0
78,E,34.33,-117.5130556,Jul,5,16,0.472150203,1108,28.17166149,2.671395264,45.56319547,0
81,B,37.82518,-93.74782,Sep,6,0,0.239193315,261,17.42136018,2.659221956,69.25446849,14.4
83,C,41.51085,-109.50637,Jun,1,15,0.388408431,1956,15.07154497,5.527476415,32.85349555,0.6
85,B,31.52155134,-83.3011096,Dec,3,12,0.147923431,103,9.698657847,2.389466931,62.76326609,0
86,C,32.28853889,-82.40083333,Mar,1,12,0.139329817,75,10.16202164,2.610480348,72.81673245,0
87,B,34.9,-111.4333333,Jul,0,16,0.410841248,2176,19.98323232,3.824646465,50.34343434,0
88,B,35.29805555,-120.48,Aug,6,15,0.501749805,487,19.47419569,3.683288936,66.7703414,0
89,B,25.334719,-80.805556,Apr,1,12,0.131003293,2,22.52917967,5.232641357,73.21996999,0
91,C,47.8666,-94.9169,Apr,6,15,0.246574558,383,0.749481631,4.837027138,62.01946267,17.23333333
92,B,43.71814,-89.52824,Jun,2,9,0.197762667,255,17.89554642,1.999708175,62.90294122,0
94,B,35.06351,-93.35006,Oct,4,15,0.237079695,108,16.88625904,1.648675951,65.83424317,27.13333333
95,B,32.25136667,-82.91357222,Jan,5,12,0.143927842,86,8.215994572,1.963602917,61.32110962,0
97,B,32.78947346,-84.84721729,Feb,2,12,0.160867452,250,12.4331389,2.484804469,65.25537673,34.86666667
98,C,45.76867435,-116.3321016,Aug,5,15,0.455089149,568,21.12740188,0.538761608,58.48434394,0
99,C,31.0847,-88.5464,Dec,3,12,0.195613592,32,13.17772284,3.802843088,76.47545326,121.0666667
100,B,41.55579979,-74.40212285,Apr,5,15,0.064044485,180,7.432636893,4.458556871,53.72457968,0
101,B,34.55,-79.0167,Feb,6,16,0.107853338,33,8.965137985,2.674125565,67.64445128,19.93333333
102,C,32.4929,-84.1167,Apr,0,12,0.15451747,141,14.12587302,3.91494709,67.59804582,430.0666667
104,B,37.2936,-83.2331,Mar,4,0,0.143596061,357,5.676869916,2.990273896,71.17496513,46.76666667
106,B,31.133234,-81.55446249,Nov,5,12,0.132657171,9,16.88633727,3.375045015,67.841669,9.233333333
108,B,34.15052242,-84.40011591,Feb,3,16,0.155929136,320,3.008464555,2.338022246,50.51521895,0
111,B,34.9102,-85.4287,Mar,5,16,0.164694062,548,9.211014536,3.71116366,66.45162991,201.3333333
112,B,29.14,-82.33,Nov,6,12,0.141133311,42,19.3273559,2.571702921,68.88091429,0
113,C,35.03680041,-95.26930239,Jan,3,15,0.254986745,344,4.708953322,3.729115595,59.56465952,0
114,B,47.41333333,-94.49,Mar,3,15,0.242672334,394,-5.923546269,4.055767418,68.6689101,0
118,B,30.2370808,-97.8383698,Nov,4,12,0.282524787,233,17.79633231,3.615074465,60.84154018,30.13333333
119,B,37.1575,-107.0202778,Sep,5,0,0.366082682,2421,7.433729462,4.409871077,37.88091175,0
120,C,30.41306,-103.1489,Jun,5,12,0.333033724,1658,26.78062561,4.535616124,39.41982802,0
121,B,45.5639,-107.4868,Oct,0,15,0.367262058,989,12.12149079,2.731497601,56.98127097,15.33333333
122,B,43.285295,-95.7828301,Nov,1,9,0.255846647,448,6.666464837,3.054125719,73.86289367,0
124,B,34.8839,-98.2039,Aug,1,16,0.28268576,411,34.19526416,4.043779291,37.12452243,0.266666667
125,B,31.4636,-81.3551,Jul,2,12,0.130639424,2,28.71783317,3.655958996,66.58728975,61
126,C,34.80025167,-89.65493016,May,2,16,0.203161515,121,17.18981482,4.343558201,59.26786646,53
128,B,32.9878,-89.6958,Mar,3,12,0.204736298,100,6.21637434,3.813077276,58.05212859,37.26666667
129,B,40.74611111,-75.74861111,Apr,6,15,0.076024663,318,10.05496972,3.699447184,65.13421475,97.33333333
130,C,36.78186,-96.004014,Dec,4,0,0.26083623,221,-0.47356583,1.92034307,82.39999557,15.56666667
131,B,33.2892,-110.4575,May,6,16,0.40223466,777,26.19796016,4.465488356,18.06645393,0.666666667
132,B,30.11,-82.04,Jun,1,12,0.13776582,63,28.13915948,2.81058774,67.53645299,5.866666667
133,B,32.0988,-84.7623,Mar,1,12,0.160596367,191,15.03360897,3.334302407,68.43251845,90.73333333
134,B,40.86545041,-72.93647803,Jul,0,15,0.051717924,17,22.51130713,3.109646996,73.28577662,20.63333333
135,B,36.3389,-91.5364,Mar,6,0,0.219527077,168,10.98228087,4.263570743,70.34350078,0
137,B,47.68795,-117.237,Sep,3,15,0.463820571,605,18.61072217,1.623444643,43.07373889,6.966666667
138,B,31.025575,-90.377754,Jul,4,12,0.212420337,113,30.52012447,1.141587923,66.85668624,0
